Text,True_Label
غير مطابق للموصفات,negative
تصميم تقليدي,neutral
سيء للغاية لا أنصح به,negative
أفضل شراء قمت به,positive
أحببته كثيرا,positive
جودة رديئة وتصنيع سيء,negative
خدمة عملاء بطيئة جدا,negative
منتج رائع جدا,positive
سعر ممتاز مقابل الجودة,positive
جودة رديئة وتصنيع سيء,negative
تجربة استثنائية,positive
وصل الطلب,neutral
الجودة مذهلة,positive
خدمة عملاء بطيئة جدا,negative
لا يعمل بشكل صحيح,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
لا بأس به,neutral
تأخر الشحن كثيرا,negative
تأخر الشحن كثيرا,negative
أسوأ تجربة شراء,negative
المنتج تالف,negative
سعر ممتاز مقابل الجودة,positive
شحن عادي,neutral
يعمل كما هو متوقع,neutral
منتج رائع جدا,positive
المنتج عادي جدا,neutral
منتج رائع جدا,positive
تأخر الشحن كثيرا,negative
شحن عادي,neutral
تصميم تقليدي,neutral
الجودة مذهلة,positive
غير مطابق للموصفات,negative
لا بأس به,neutral
يحتاج بعض التحسينات,neutral
سعر ممتاز مقابل الجودة,positive
السعر مناسب لكن الجودة متوسطة,neutral
سعيد جدا بالخدمة,positive
السعر مناسب لكن الجودة متوسطة,neutral
سيء للغاية لا أنصح به,negative
لا يعمل بشكل صحيح,negative
أوصي به الجميع بشدة,positive
لون مختلف قليلا,neutral
السعر مناسب لكن الجودة متوسطة,neutral
تصميم تقليدي,neutral
السعر مناسب لكن الجودة متوسطة,neutral
خدمة عملاء بطيئة جدا,negative
خدمة عملاء راقية,positive
الجودة مذهلة,positive
أفضل شراء قمت به,positive
أفضل شراء قمت به,positive
تصميم تقليدي,neutral
شحن عادي,neutral
أحببته كثيرا,positive
لا يعمل بشكل صحيح,negative
السعر مناسب لكن الجودة متوسطة,neutral
السعر مناسب لكن الجودة متوسطة,neutral
جودة رديئة وتصنيع سيء,negative
منتج رائع جدا,positive
المنتج عادي جدا,neutral
الجودة مذهلة,positive
تعطل بعد يومين,negative
مضيعة للمال,negative
سعر ممتاز مقابل الجودة,positive
غير مطابق للموصفات,negative
تصميم تقليدي,neutral
أحببته كثيرا,positive
تأخر الشحن كثيرا,negative
تجربة استثنائية,positive
لا يعمل بشكل صحيح,negative
شحن سريع وتغليف ممتاز,positive
تعطل بعد يومين,negative
غير مطابق للموصفات,negative
لا يعمل بشكل صحيح,negative
يعمل كما هو متوقع,neutral
تأخر الشحن كثيرا,negative
لا بأس به,neutral
منتج رائع جدا,positive
أحببته كثيرا,positive
تأخر الشحن كثيرا,negative
تأخر الشحن كثيرا,negative
غير مطابق للموصفات,negative
تجربة استثنائية,positive
لون مختلف قليلا,neutral
شحن عادي,neutral
خدمة عملاء بطيئة جدا,negative
المنتج تالف,negative
غير مطابق للموصفات,negative
المنتج عادي جدا,neutral
تجربة استثنائية,positive
أحببته كثيرا,positive
سعيد جدا بالخدمة,positive
شحن عادي,neutral
منتج رائع جدا,positive
لا بأس به,neutral
لا بأس به,neutral
خدمة عملاء راقية,positive
سيء للغاية لا أنصح به,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
تأخر الشحن كثيرا,negative
جودة رديئة وتصنيع سيء,negative
لون مختلف قليلا,neutral
أحببته كثيرا,positive
تأخر الشحن كثيرا,negative
المنتج تالف,negative
مضيعة للمال,negative
لا بأس به,neutral
المنتج تالف,negative
لا يعمل بشكل صحيح,negative
أفضل شراء قمت به,positive
وصل الطلب,neutral
مضيعة للمال,negative
المنتج تالف,negative
أسوأ تجربة شراء,negative
جودة رديئة وتصنيع سيء,negative
سعيد جدا بالخدمة,positive
مضيعة للمال,negative
خدمة عملاء راقية,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
شحن عادي,neutral
المنتج تالف,negative
لا بأس به,neutral
أوصي به الجميع بشدة,positive
سعر ممتاز مقابل الجودة,positive
شحن عادي,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
الجودة مذهلة,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
خدمة عملاء راقية,positive
خدمة عملاء بطيئة جدا,negative
سيء للغاية لا أنصح به,negative
أسوأ تجربة شراء,negative
السعر مناسب لكن الجودة متوسطة,neutral
لا يعمل بشكل صحيح,negative
أوصي به الجميع بشدة,positive
وصل الطلب,neutral
خدمة عملاء راقية,positive
تعطل بعد يومين,negative
شحن سريع وتغليف ممتاز,positive
أحببته كثيرا,positive
مضيعة للمال,negative
أفضل شراء قمت به,positive
أسوأ تجربة شراء,negative
جودة رديئة وتصنيع سيء,negative
تعطل بعد يومين,negative
تعطل بعد يومين,negative
يحتاج بعض التحسينات,neutral
شحن سريع وتغليف ممتاز,positive
لا يعمل بشكل صحيح,negative
المنتج عادي جدا,neutral
أحببته كثيرا,positive
سعر ممتاز مقابل الجودة,positive
مضيعة للمال,negative
السعر مناسب لكن الجودة متوسطة,neutral
يحتاج بعض التحسينات,neutral
سيء للغاية لا أنصح به,negative
يحتاج بعض التحسينات,neutral
يعمل كما هو متوقع,neutral
مضيعة للمال,negative
تجربة استثنائية,positive
جودة رديئة وتصنيع سيء,negative
لون مختلف قليلا,neutral
خدمة عملاء راقية,positive
لا بأس به,neutral
لون مختلف قليلا,neutral
لا بأس به,neutral
أحببته كثيرا,positive
تعطل بعد يومين,negative
السعر مناسب لكن الجودة متوسطة,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
يعمل كما هو متوقع,neutral
مضيعة للمال,negative
أوصي به الجميع بشدة,positive
لا بأس به,neutral
السعر مناسب لكن الجودة متوسطة,neutral
تصميم تقليدي,neutral
لا بأس به,neutral
تعطل بعد يومين,negative
منتج رائع جدا,positive
المنتج عادي جدا,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
جودة رديئة وتصنيع سيء,negative
جودة رديئة وتصنيع سيء,negative
تصميم تقليدي,neutral
غير مطابق للموصفات,negative
جودة رديئة وتصنيع سيء,negative
الجودة مذهلة,positive
تأخر الشحن كثيرا,negative
السعر مناسب لكن الجودة متوسطة,neutral
خدمة عملاء راقية,positive
تصميم تقليدي,neutral
خدمة عملاء بطيئة جدا,negative
سعيد جدا بالخدمة,positive
يعمل كما هو متوقع,neutral
مضيعة للمال,negative
يعمل كما هو متوقع,neutral
سيء للغاية لا أنصح به,negative
أوصي به الجميع بشدة,positive
خدمة عملاء راقية,positive
لا بأس به,neutral
شحن عادي,neutral
خدمة عملاء راقية,positive
شحن عادي,neutral
وصل الطلب,neutral
شحن عادي,neutral
سعر ممتاز مقابل الجودة,positive
يعمل كما هو متوقع,neutral
غير مطابق للموصفات,negative
لا بأس به,neutral
غير مطابق للموصفات,negative
وصل الطلب,neutral
أسوأ تجربة شراء,negative
منتج رائع جدا,positive
سعر ممتاز مقابل الجودة,positive
يحتاج بعض التحسينات,neutral
لون مختلف قليلا,neutral
السعر مناسب لكن الجودة متوسطة,neutral
أفضل شراء قمت به,positive
لون مختلف قليلا,neutral
سعر ممتاز مقابل الجودة,positive
المنتج تالف,negative
تصميم تقليدي,neutral
الجودة مذهلة,positive
لا بأس به,neutral
منتج رائع جدا,positive
المنتج عادي جدا,neutral
خدمة عملاء راقية,positive
شحن عادي,neutral
تجربة استثنائية,positive
يحتاج بعض التحسينات,neutral
لون مختلف قليلا,neutral
يحتاج بعض التحسينات,neutral
منتج رائع جدا,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
شحن سريع وتغليف ممتاز,positive
تصميم تقليدي,neutral
تصميم تقليدي,neutral
لا بأس به,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
تصميم تقليدي,neutral
سعيد جدا بالخدمة,positive
أحببته كثيرا,positive
أسوأ تجربة شراء,negative
يحتاج بعض التحسينات,neutral
يحتاج بعض التحسينات,neutral
سعر ممتاز مقابل الجودة,positive
غير مطابق للموصفات,negative
جودة رديئة وتصنيع سيء,negative
شحن عادي,neutral
جودة رديئة وتصنيع سيء,negative
سعر ممتاز مقابل الجودة,positive
تجربة استثنائية,positive
سيء للغاية لا أنصح به,negative
لا يعمل بشكل صحيح,negative
سعيد جدا بالخدمة,positive
لا يعمل بشكل صحيح,negative
السعر مناسب لكن الجودة متوسطة,neutral
شحن عادي,neutral
وصل الطلب,neutral
مضيعة للمال,negative
شحن سريع وتغليف ممتاز,positive
جودة رديئة وتصنيع سيء,negative
المنتج عادي جدا,neutral
مضيعة للمال,negative
الجودة مذهلة,positive
تصميم تقليدي,neutral
تأخر الشحن كثيرا,negative
لا بأس به,neutral
غير مطابق للموصفات,negative
وصل الطلب,neutral
شحن عادي,neutral
يعمل كما هو متوقع,neutral
خدمة عملاء راقية,positive
المنتج عادي جدا,neutral
المنتج عادي جدا,neutral
لا يعمل بشكل صحيح,negative
مضيعة للمال,negative
شحن سريع وتغليف ممتاز,positive
مضيعة للمال,negative
المنتج تالف,negative
يحتاج بعض التحسينات,neutral
لا بأس به,neutral
لا بأس به,neutral
لا بأس به,neutral
خدمة عملاء بطيئة جدا,negative
أحببته كثيرا,positive
تجربة استثنائية,positive
تجربة استثنائية,positive
أحببته كثيرا,positive
خدمة عملاء راقية,positive
أحببته كثيرا,positive
شحن سريع وتغليف ممتاز,positive
تجربة استثنائية,positive
الجودة مذهلة,positive
سعر ممتاز مقابل الجودة,positive
أفضل شراء قمت به,positive
خدمة عملاء بطيئة جدا,negative
أفضل شراء قمت به,positive
الجودة مذهلة,positive
غير مطابق للموصفات,negative
شحن سريع وتغليف ممتاز,positive
شحن سريع وتغليف ممتاز,positive
تصميم تقليدي,neutral
لون مختلف قليلا,neutral
السعر مناسب لكن الجودة متوسطة,neutral
أفضل شراء قمت به,positive
تصميم تقليدي,neutral
المنتج تالف,negative
سعر ممتاز مقابل الجودة,positive
مضيعة للمال,negative
تصميم تقليدي,neutral
تأخر الشحن كثيرا,negative
منتج رائع جدا,positive
مضيعة للمال,negative
يحتاج بعض التحسينات,neutral
شحن عادي,neutral
يحتاج بعض التحسينات,neutral
شحن عادي,neutral
سعيد جدا بالخدمة,positive
وصل الطلب,neutral
لون مختلف قليلا,neutral
أحببته كثيرا,positive
تصميم تقليدي,neutral
لا بأس به,neutral
الجودة مذهلة,positive
سعيد جدا بالخدمة,positive
تعطل بعد يومين,negative
وصل الطلب,neutral
سعر ممتاز مقابل الجودة,positive
خدمة عملاء بطيئة جدا,negative
يحتاج بعض التحسينات,neutral
أسوأ تجربة شراء,negative
جودة رديئة وتصنيع سيء,negative
تعطل بعد يومين,negative
لا بأس به,neutral
السعر مناسب لكن الجودة متوسطة,neutral
تعطل بعد يومين,negative
أفضل شراء قمت به,positive
لون مختلف قليلا,neutral
منتج رائع جدا,positive
لا يعمل بشكل صحيح,negative
سعيد جدا بالخدمة,positive
أحببته كثيرا,positive
لا بأس به,neutral
مضيعة للمال,negative
سعر ممتاز مقابل الجودة,positive
أفضل شراء قمت به,positive
منتج رائع جدا,positive
أوصي به الجميع بشدة,positive
سعيد جدا بالخدمة,positive
تجربة استثنائية,positive
منتج رائع جدا,positive
أسوأ تجربة شراء,negative
سيء للغاية لا أنصح به,negative
خدمة عملاء بطيئة جدا,negative
يعمل كما هو متوقع,neutral
المنتج عادي جدا,neutral
تأخر الشحن كثيرا,negative
جودة رديئة وتصنيع سيء,negative
المنتج عادي جدا,neutral
أسوأ تجربة شراء,negative
السعر مناسب لكن الجودة متوسطة,neutral
المنتج تالف,negative
تأخر الشحن كثيرا,negative
الجودة مذهلة,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
تعطل بعد يومين,negative
المنتج تالف,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
أفضل شراء قمت به,positive
شحن عادي,neutral
منتج رائع جدا,positive
تأخر الشحن كثيرا,negative
سيء للغاية لا أنصح به,negative
خدمة عملاء بطيئة جدا,negative
وصل الطلب,neutral
لا يعمل بشكل صحيح,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
أفضل شراء قمت به,positive
لا بأس به,neutral
سيء للغاية لا أنصح به,negative
منتج رائع جدا,positive
أحببته كثيرا,positive
الجودة مذهلة,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
خدمة عملاء راقية,positive
المنتج تالف,negative
جودة رديئة وتصنيع سيء,negative
شحن سريع وتغليف ممتاز,positive
منتج رائع جدا,positive
تصميم تقليدي,neutral
سعيد جدا بالخدمة,positive
خدمة عملاء بطيئة جدا,negative
لا يعمل بشكل صحيح,negative
الجودة مذهلة,positive
سعر ممتاز مقابل الجودة,positive
المنتج تالف,negative
شحن سريع وتغليف ممتاز,positive
خدمة عملاء راقية,positive
أحببته كثيرا,positive
تصميم تقليدي,neutral
سيء للغاية لا أنصح به,negative
منتج رائع جدا,positive
وصل الطلب,neutral
تعطل بعد يومين,negative
تصميم تقليدي,neutral
تصميم تقليدي,neutral
السعر مناسب لكن الجودة متوسطة,neutral
تجربة استثنائية,positive
أسوأ تجربة شراء,negative
تجربة استثنائية,positive
شحن سريع وتغليف ممتاز,positive
يحتاج بعض التحسينات,neutral
تصميم تقليدي,neutral
لون مختلف قليلا,neutral
مضيعة للمال,negative
المنتج عادي جدا,neutral
لون مختلف قليلا,neutral
خدمة عملاء بطيئة جدا,negative
لون مختلف قليلا,neutral
تجربة استثنائية,positive
وصل الطلب,neutral
حجمه أصغر من المتوقع لكنه مقبول,neutral
غير مطابق للموصفات,negative
جودة رديئة وتصنيع سيء,negative
أوصي به الجميع بشدة,positive
يحتاج بعض التحسينات,neutral
لا يعمل بشكل صحيح,negative
جودة رديئة وتصنيع سيء,negative
يعمل كما هو متوقع,neutral
لا يعمل بشكل صحيح,negative
خدمة عملاء راقية,positive
لون مختلف قليلا,neutral
خدمة عملاء راقية,positive
تصميم تقليدي,neutral
أحببته كثيرا,positive
أوصي به الجميع بشدة,positive
سعر ممتاز مقابل الجودة,positive
المنتج عادي جدا,neutral
منتج رائع جدا,positive
المنتج تالف,negative
تجربة استثنائية,positive
سعيد جدا بالخدمة,positive
لا يعمل بشكل صحيح,negative
تعطل بعد يومين,negative
يعمل كما هو متوقع,neutral
المنتج تالف,negative
تجربة استثنائية,positive
خدمة عملاء بطيئة جدا,negative
خدمة عملاء راقية,positive
تعطل بعد يومين,negative
خدمة عملاء راقية,positive
تصميم تقليدي,neutral
شحن سريع وتغليف ممتاز,positive
لا بأس به,neutral
لا يعمل بشكل صحيح,negative
شحن عادي,neutral
تعطل بعد يومين,negative
أسوأ تجربة شراء,negative
أوصي به الجميع بشدة,positive
أسوأ تجربة شراء,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
لون مختلف قليلا,neutral
تصميم تقليدي,neutral
سعيد جدا بالخدمة,positive
لون مختلف قليلا,neutral
سيء للغاية لا أنصح به,negative
المنتج عادي جدا,neutral
لون مختلف قليلا,neutral
سيء للغاية لا أنصح به,negative
يحتاج بعض التحسينات,neutral
مضيعة للمال,negative
تأخر الشحن كثيرا,negative
غير مطابق للموصفات,negative
المنتج تالف,negative
حجمه أصغر من المتوقع لكنه مقبول,neutral
منتج رائع جدا,positive
جودة رديئة وتصنيع سيء,negative
السعر مناسب لكن الجودة متوسطة,neutral
غير مطابق للموصفات,negative
أحببته كثيرا,positive
أفضل شراء قمت به,positive
أفضل شراء قمت به,positive
يعمل كما هو متوقع,neutral
تأخر الشحن كثيرا,negative
تصميم تقليدي,neutral
منتج رائع جدا,positive
تعطل بعد يومين,negative
أحببته كثيرا,positive
مضيعة للمال,negative
مضيعة للمال,negative
شحن عادي,neutral
الجودة مذهلة,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
منتج رائع جدا,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
المنتج تالف,negative
لا يعمل بشكل صحيح,negative
أفضل شراء قمت به,positive
حجمه أصغر من المتوقع لكنه مقبول,neutral
يحتاج بعض التحسينات,neutral
لون مختلف قليلا,neutral
خدمة عملاء بطيئة جدا,negative
